dc, greedy instalations, greedy opened, xpress instalations, xpress opened
70,9,1 4 5 7 9 12 13 16 18,8,3 4 5 9 12 13 26 27
71,8,1 5 7 9 13 14 16 18,7,1 3 5 9 13 14 27
72,8,1 5 7 9 13 14 16 18,7,1 3 5 9 13 14 27
73,8,1 5 7 9 13 14 16 18,7,1 3 5 9 13 14 27
74,7,1 5 7 13 14 16 18,7,1 2 3 5 13 14 27
75,7,1 5 7 13 14 16 18,6,5 6 13 14 26 27
76,7,1 5 7 13 16 18 23,6,5 6 13 23 26 27
77,7,1 5 7 13 16 18 23,6,5 6 13 23 26 30
78,6,1 5 7 13 14 27,6,5 6 13 23 26 27
79,6,1 5 7 13 14 27,6,5 6 13 23 26 27
80,6,1 5 7 13 14 27,6,5 6 13 23 26 27
81,6,1 5 7 13 14 27,6,5 6 13 23 26 27
82,6,1 5 7 13 14 27,6,5 6 13 23 26 27
83,6,1 5 7 13 14 27,6,5 6 13 23 26 27
84,6,1 5 7 13 14 27,6,5 7 13 23 26 27
85,6,1 5 7 13 14 27,6,5 6 13 23 26 27
86,7,1 5 7 13 16 18 23,6,5 6 13 23 26 27
87,7,1 5 7 13 16 18 23,6,5 10 13 16 23 26
88,7,1 5 7 13 16 18 23,6,5 7 13 23 26 27
89,7,1 5 7 13 16 18 23,6,5 7 13 23 26 27
90,7,1 3 5 13 14 16 24,6,1 5 7 13 23 27
91,6,1 5 13 14 24 27,6,1 2 5 13 23 27
92,6,1 5 7 13 14 16,5,1 5 13 23 27
93,6,1 5 7 13 14 16,5,1 5 13 23 27
94,6,1 5 10 13 16 23,5,1 5 13 23 27
95,6,1 5 10 12 13 16,5,1 5 12 13 27
96,6,1 5 10 12 13 16,5,1 5 12 13 27
97,6,1 5 10 12 13 16,5,1 5 12 13 27
98,6,1 5 10 12 13 16,5,1 5 12 13 27
99,6,1 5 10 12 13 16,5,1 5 12 13 27
100,6,1 5 10 12 13 16,5,5 12 13 20 27
101,6,1 2 3 12 13 29,5,2 12 13 20 27
102,6,1 2 7 12 13 16,5,2 12 13 27 28
103,6,1 2 7 12 13 16,5,2 12 13 27 28
104,6,1 2 7 12 13 16,5,12 13 17 20 27
105,5,2 7 12 13 16,4,2 12 13 27
106,5,2 7 12 13 16,4,2 12 25 27
107,4,4 13 17 29,4,2 12 25 27
108,4,4 13 17 29,4,2 10 12 13
109,4,4 13 17 29,4,2 10 12 13
110,4,4 13 17 29,4,2 10 12 13
111,4,2 4 13 29,4,2 12 13 27
112,4,2 3 12 13,4,2 12 13 27
113,4,2 3 12 13,4,2 12 13 27
114,4,2 3 12 13,4,2 12 13 27
115,4,2 3 12 13,4,2 12 13 27
116,4,2 3 12 13,4,2 12 13 27
117,4,2 7 12 13,4,2 12 13 27
118,4,2 7 12 13,4,2 12 13 18
119,4,2 7 12 13,4,2 12 13 18
120,4,2 7 12 13,4,2 8 22 30
