p, greedy distance, greedy opened, local search distance, local search opened, xpress distance, xpress opened
1,1102,13,1102,13,1102,13
2,734,5 13,705,1 5,705,1 5
3,546,5 8 13,523,4 12 14,528,5 8 14
4,458,1 5 8 13,420,1 4 8 14,423,1 5 8 14
5,371,1 5 7 8 13,331,1 4 8 14 15,331,1 4 8 14 15
6,304,1 5 6 7 8 13,288,1 5 6 8 14 15,283,1 4 8 10 11 15
7,242,1 5 6 7 8 11 13,240,1 5 6 7 8 10 11,231,1 4 7 8 10 11 15
8,190,1 5 6 7 8 11 13 15,188,1 5 6 7 8 10 11 15,188,1 5 6 7 8 10 11 15
9,151,1 3 5 6 7 8 11 13 15,149,1 3 5 6 7 8 10 11 15,149,1 3 5 6 7 8 10 11 15
10,114,1 3 4 5 6 7 8 11 13 15,112,1 3 4 5 6 7 8 10 11 15,112,1 3 4 5 6 7 8 10 11 15
